[2025-11-05 15:03:06,629] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 15:03:06,636] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:06,636] 65 docling.pipeline.base_pipeline - INFO - Processing document adaptive_charging_algorithm_draft_071625.docx
[2025-11-05 15:03:06,666] 338 docling.document_converter - INFO - Finished converting document adaptive_charging_algorithm_draft_071625.docx in 0.04 sec.
[2025-11-05 15:03:06,669] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 15:03:06,677] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:06,677] 65 docling.pipeline.base_pipeline - INFO - Processing document api_spec_smart_battery_telemetry_070925.docx
[2025-11-05 15:03:06,726] 338 docling.document_converter - INFO - Finished converting document api_spec_smart_battery_telemetry_070925.docx in 0.06 sec.
[2025-11-05 15:03:06,729] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:03:06,771] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:06,771] 65 docling.pipeline.base_pipeline - INFO - Processing document dashboard_metrics_v0_1_072925.png
[2025-11-05 15:03:11,253] 338 docling.document_converter - INFO - Finished converting document dashboard_metrics_v0_1_072925.png in 4.52 sec.
[2025-11-05 15:03:11,257] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.PPTX: 'pptx'>]
[2025-11-05 15:03:11,277] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:11,277] 65 docling.pipeline.base_pipeline - INFO - Processing document investor_pitchdeck_smart_battery_091525.pptx
[2025-11-05 15:03:11,853] 338 docling.document_converter - INFO - Finished converting document investor_pitchdeck_smart_battery_091525.pptx in 0.60 sec.
[2025-11-05 15:03:11,858] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 15:03:11,867] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:11,867] 65 docling.pipeline.base_pipeline - INFO - Processing document pilot_midpoint_review_082625.docx
[2025-11-05 15:03:11,897] 338 docling.document_converter - INFO - Finished converting document pilot_midpoint_review_082625.docx in 0.04 sec.
[2025-11-05 15:03:11,902] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 15:03:11,911] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:11,911] 65 docling.pipeline.base_pipeline - INFO - Processing document smart_battery_product_vision_brief_070425.docx
[2025-11-05 15:03:11,944] 338 docling.document_converter - INFO - Finished converting document smart_battery_product_vision_brief_070425.docx in 0.04 sec.
[2025-11-05 15:03:11,950] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 15:03:11,961] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:11,962] 65 docling.pipeline.base_pipeline - INFO - Processing document smart_battery_v1_summary_report_091725.docx
[2025-11-05 15:03:11,993] 338 docling.document_converter - INFO - Finished converting document smart_battery_v1_summary_report_091725.docx in 0.04 sec.
[2025-11-05 15:03:11,997] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 15:03:12,005] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:12,005] 65 docling.pipeline.base_pipeline - INFO - Processing document user_setup_guide_pilot_draft_080525.docx
[2025-11-05 15:03:12,045] 338 docling.document_converter - INFO - Finished converting document user_setup_guide_pilot_draft_080525.docx in 0.05 sec.
[2025-11-05 15:03:12,048] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
